,count,mean,std,min,25%,50%,75%,max
open,1038.0,183.20288535645471,2.1791202526619857,177.31,181.51,183.31,185.0,187.34
high,1038.0,183.20607899807325,2.1770655609390728,177.31,181.51125,183.31,185.0,187.34
low,1038.0,183.1986078998073,2.179092147586095,177.27,181.51,183.2975,185.0,187.34
close,1038.0,183.20167630057804,2.177006403004869,177.27,181.51125,183.2975,185.0,187.34
volume,1038.0,262.14161849710985,657.3749424994191,100.0,100.0,106.0,210.75,17850.0
trade_count,1038.0,2.2109826589595376,2.3227512528323175,1.0,1.0,1.0,3.0,29.0
vwap,1038.0,183.20243150385357,2.1781095580996186,177.31,181.51125,183.3025,185.0,187.34
return_1min,1037.0,2.2352926336096272e-05,0.0012721794167606802,-0.01072510438555796,-0.0003322627090486252,0.0,0.00035852178709316895,0.01337774077157916
