,count,mean,std,min,25%,50%,75%,max
Open,5078.0,144.7486695976603,20.72767843332323,108.86000061035156,124.6312484741211,146.19499969482422,159.7375030517578,187.00999450683597
High,5078.0,144.9591097687116,20.743592231487458,109.02999877929688,124.74499893188477,146.43499755859375,159.92999267578125,187.07000732421875
Low,5078.0,144.52761236538612,20.70439470449297,108.8000030517578,124.52144813537598,145.94000244140625,159.49424743652344,186.8500061035156
Close,5078.0,144.75095875406885,20.725513756642115,108.87999725341795,124.64124870300293,146.28250122070312,159.73735427856445,187.07000732421875
Adj Close,5078.0,144.75095875406885,20.725513756642115,108.87999725341795,124.64124870300293,146.28250122070312,159.73735427856445,187.07000732421875
Volume,5078.0,34064.20716817645,48906.99659258703,0.0,9777.5,19120.5,38493.5,847211.0
