Date,Open,Close,High,Low,Volume,intraday_return,intraday_range,daily_return,rolling_mean_5,rolling_vol_5,target
2023-01-04,110.08000183105467,110.19000244140624,110.6500015258789,109.1999969482422,220631.0,0.0009992787838102146,0.013172279737623003,,,,1
2023-01-05,109.4800033569336,108.87999725341795,109.4800033569336,108.8000030517578,159358.0,-0.00548050863279079,0.006211182721275735,-0.011888602949118532,,,0
2023-01-06,109.6999969482422,111.47000122070312,111.68000030517578,108.97000122070312,281649.0,0.01613495279581487,0.024703729807315007,0.023787693172483637,,,1
2023-01-09,112.25,111.61000061035156,113.0,111.5,447442.0,-0.0057015535826141425,0.013363028953229399,0.0012559378138989885,,,0
2023-01-10,111.33999633789062,112.16000366210938,112.18000030517578,111.09500122070312,110067.0,0.007364894478083341,0.009744917551280853,0.004927901162530723,,,1
2023-01-11,112.66999816894533,113.41999816894533,113.41999816894533,112.48999786376952,89896.0,0.006656607900848611,0.00825419650563322,0.011233902154923037,0.005863366270943571,0.013108776198603156,1
2023-01-12,113.94000244140624,114.33999633789062,114.55500030517578,112.81999969482422,173475.0,0.0035105659813381737,0.015227317651180395,0.008111428176668767,0.00986337249610103,0.00862092187407627,1
2023-01-13,113.5,114.75,114.88500213623048,113.47000122070312,282933.0,0.011013215859030838,0.012466968418743242,0.0035858288896368773,0.005822999639531678,0.003910848986074431,1
2023-01-17,115.01000213623048,114.72000122070312,115.33000183105467,114.5500030517578,547439.0,-0.0025215277814172113,0.006782008215015584,-0.0002614272705609988,0.005519526622639681,0.00438408134370014,0
2023-01-18,115.37999725341795,113.4000015258789,115.62999725341795,113.4000015258789,431198.0,-0.017160649806484494,0.01932740319486347,-0.011506273368013242,0.0022326917165308878,0.008837308739787676,0
2023-01-19,112.83999633789062,112.75,113.31999969482422,112.36000061035156,202006.0,-0.0007975570791507112,0.008507613573453277,-0.005731935777184005,-0.0011604758698905205,0.007701260829549689,0
2023-01-20,113.05999755859376,114.58000183105467,114.61000061035156,112.6500015258789,281968.0,0.013444227005870588,0.017335920102571022,0.01623061490957589,0.00046336147669090444,0.010494466025831204,1
2023-01-23,114.69000244140624,115.72000122070312,116.08999633789062,114.41000366210938,360602.0,0.008980719830598168,0.014648117883156715,0.00994937485975389,0.001736070670714307,0.011321119339151978,1
2023-01-24,115.25,115.62000274658205,115.7699966430664,114.81999969482422,106289.0,0.0032104359790199174,0.008242923628999458,-0.0008641416614778574,0.0016155277925309353,0.0113508746974073,1
2023-01-25,114.5500030517578,115.76000213623048,115.86000061035156,114.0999984741211,111372.0,0.010563064620137667,0.015364487903463753,0.0012108578647527235,0.004158954039084129,0.00881768722909069,1
2023-01-26,116.37000274658205,116.77999877929688,116.77999877929688,115.5500030517578,146443.0,0.0035232106474008974,0.01056969750372549,0.008811304632372341,0.007067602120995398,0.0069375775426938156,1
2023-01-27,116.38999938964844,116.88999938964844,117.48999786376952,116.30999755859376,461548.0,0.004295901732296678,0.01013833071023025,0.0009419473497294106,0.004009868609026102,0.004983324706094865,1
